sentence
city: newark, state: nj, zip: 07108
city: hopewell, state: va, zip: 23860
city: tacoma, state: wa, zip: 98444
city: slidell, state: la, zip: 70460
city: river grove, state: il, zip: 60171
city: jamaica, state: ny nj, zip: 11432
city: columbus, state: oh, zip: 43204
city: roanoke, state: va, zip: 24018
city: s salt lake, state: ut, zip: 84119
city: wheatfield, state: in, zip: 46392
city: moorhead, state: mn nd, zip: 56560
city: yatahey, state: nm, zip: 87375
city: middletown, state: ca, zip: 95461
city: eunice, state: la ok, zip: 70535
city: san diego, state: mo, zip: 92154
city: pawleys island, state: null, zip: 29585
city: middletown, state: ny nj, zip: 10940
city: harrisburg, state: pa, zip: 17110
city: belmont, state: nc, zip: 28012
city: york, state: pa, zip: 17404
city: chanhassen, state: mn, zip: 55317
city: marshall, state: va, zip: 20115
city: asheville, state: nc, zip: 28801
city: hartsville, state: sc, zip: 29550
city: hartsville, state: sc, zip: 29550
city: asheville, state: nc, zip: 28806
city: doral, state: null, zip: 33192
city: lawrenceville, state: il in, zip: 62439
city: nokomis, state: null, zip: 34275
city: grand ledge, state: mi, zip: 48837
city: knoxville, state: null, zip: 37923
city: valdosta, state: ga, zip: 31605
city: sheldon, state: ia, zip: 51201
city: hot springs, state: null, zip: 57747
city: pocatello, state: null, zip: 83201
city: riverdale, state: ut, zip: 84405
city: spanaway, state: null, zip: 98387
city: albuquerque, state: ca pa la, zip: 87102
city: arcadia, state: null, zip: 34266
city: auburndale, state: null, zip: 33823
city: rome, state: ny, zip: 13440
city: bass lake, state: ca, zip: 93604
city: steamboat springs, state: co, zip: 80477
city: blaine, state: null, zip: 98230
city: medford, state: nj, zip: 08055
city: temecula, state: ca, zip: 92591
city: sachse, state: null, zip: 75048
city: pittsburgh, state: pa, zip: 15222
city: gardner, state: mo ks, zip: 66030
city: wayne, state: wv, zip: 25570
city: eleanor, state: wv, zip: 25070
city: lorain, state: oh, zip: 44052
city: saint charles, state: mo, zip: 63301
city: moline, state: il, zip: 61265
city: round lake beach, state: il, zip: 60073
city: beaver dam, state: wi, zip: 53916
city: new port richey, state: ky, zip: 34654
city: scottsdale, state: az, zip: 85251
city: bee cave, state: az, zip: 78738
city: eunice, state: la, zip: 70535
city: canyon, state: null, zip: 79015
city: thornton, state: co, zip: 80241
city: saint louis, state: mo, zip: 63118
city: springfield, state: null, zip: 65803
city: las vegas, state: null, zip: 89166
city: maple falls, state: null, zip: 98266
city: tacoma, state: wa, zip: 98405
city: leggett, state: ca, zip: 95585
city: westport, state: ca, zip: 95488
city: new york, state: ny, zip: 10001
city: naples, state: null, zip: 34120
city: tampa, state: null, zip: 33615
city: mesa, state: az, zip: 85204
city: bakersfield, state: ca, zip: 93305
city: federal way, state: null, zip: 98003
city: everett, state: null, zip: 98208
city: houston, state: null, zip: 77077
city: pocahontas, state: mo, zip: 72455
city: seattle, state: null, zip: 98126
city: fort myers, state: null, zip: 33967
city: cleveland, state: oh, zip: 44120
city: mckeesport, state: pa, zip: 15135
city: morgantown, state: wv, zip: 26507
city: black mountain, state: nc, zip: 28711
city: boynton beach, state: null, zip: 33435
city: coshocton, state: oh, zip: 43812
city: farmersburg, state: in, zip: 47850
city: quincy, state: il, zip: 62301
city: saginaw, state: mi, zip: 48604
city: anniston, state: al, zip: 36207
city: guthrie, state: ok, zip: 73044
city: blaine, state: mn mn_1pr, zip: 55434
city: boone, state: ia, zip: 50036
city: minnetonka, state: mn, zip: 55305
city: dexter, state: null, zip: 63841
city: sikeston, state: mo, zip: 63801
city: pingree, state: nd, zip: 58476
city: shiprock, state: nm, zip: 87420
city: mesa, state: az, zip: 85202
city: portland, state: or, zip: 97202
city: yadkinville, state: nc, zip: 27055
city: saint petersburg, state: null, zip: 33704
city: clayton, state: ks, zip: 67629
city: tulare, state: ca, zip: 93274
